survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
LONG,ground,England,UK,52.47513301,-1.952562219,250,Yes,1,,,,,
SHORT,pot,netherlands ,Europe,52.48701333,5.470403395,40,Yes,1,,,,,
LONG,pot,England,UK,52.50604765,-0.414273311,48,Yes,1,2019,38.1,YESWATER,Yes,
LONG,pot,England,UK,52.50776665,-0.411016948,48,Yes,1,2019,38.1,YESWATER,Yes,
SHORT,,Germany,Europe,52.50797835,13.37735078,200,Unsure,1,,,,,
LONG,ground,England ,UK,52.56426775,-0.514068786,138,Yes,1,2015,30,YESWATER,No,Loamy
LONG,pot,England,UK,52.58176687,-2.159725194,34,Yes,3,2014,20,YESWATER,Yes,Potting mix
SHORT,ground,Wales,UK,52.59108127,-3.853509949,152,Yes,1,,,,,
LONG,ground,England,UK,52.65717984,1.211518128,300,Yes,1,,,,,
SHORT,ground,England,UK,52.65717984,1.211518128,300,Yes,1,,,,,
LONG,,England,UK,52.72730902,-2.513170211,300,Yes,1,2003,30.48,YESWATER,Yes,Loamy
SHORT,ground,England,UK,52.82391792,1.133851803,180,Yes,1,,,,,
SHORT,pot,England,UK,52.8271726,0.511401847,180,Yes,2,,,,,
SHORT,ground,England,UK,52.85791462,1.038367756,180,Yes,,,,,,
LONG,pot,England,UK,52.87461935,-1.61942435,40,Yes,1,2016,0,YESWATER,No,Potting mix
LONG,ground,England,UK,52.875505,-1.616428407,220,Yes,1,2003,80,NOWATER,No,
SHORT,ground,England,UK,52.8922771,-0.784341466,213,Yes,1,,,,,
LONG,ground,Wales,UK,52.89247911,-4.417802159,381,Yes,2,2012,30.48,NOWATER,No,Peaty
LONG,ground,England,UK,52.89827595,-1.866099745,180,Yes,1,,,,,
LONG,ground,England,UK,52.90186096,-1.432653586,130,Yes,1,2014,63.5,NOWATER,No,Sandy
LONG,ground,England,UK,52.90379355,-2.484831488,102,Yes,1,2017,88.9,NOWATER,No,Loamy
LONG,ground,England,UK,52.90396954,-1.442997568,66,Yes,2,2014,66.04,NOWATER,No,Silty
LONG,ground,England,UK,52.90396954,-1.442997568,152,Yes,2,2014,63.5,YESWATER,No,Silty
SHORT,ground,England,UK,52.91744803,-1.478890723,300,Yes,1,,,,,
LONG,ground,England,UK,52.92102218,-1.472896051,157,Yes,2,,,,,
LONG,pot,England ,UK,52.921543,-1.477702683,165,Yes,1,,,,,
SHORT,pot,England ,UK,52.921543,-1.477702683,165,Yes,1,,,,,
LONG,ground,England,UK,52.93596039,-1.205447368,250,Yes,1,2015,,NOWATER,,
LONG,ground,England ,UK,52.94408364,-1.234803537,356,Yes,1,,,NOWATER,No,Sandy
LONG,pot,England ,UK,52.95604485,-1.162504856,201,Yes,1,2006,30,YESWATER,Yes,Potting mix
LONG,ground,England,UK,52.96333146,-2.201751899,280,Yes,,,NA,NOWATER,No,
SHORT,ground,England,UK,52.96356995,-2.197313533,NA,Yes,1,,,,,
LONG,ground,England,UK,52.98624426,-1.03814619,138,Yes,1,2015,40,YESWATER,,Peaty
SHORT,ground,England,UK,53.00460648,-2.183969062,280,Yes,,,,,,
LONG,pot,England,UK,53.01956855,-2.767211042,76,Yes,1,2018,30.48,YESWATER,Yes,Peaty
LONG,ground,England,UK,53.0576016,-2.692911913,180,Yes,1,,,,,
LONG,pot,England,UK,53.0863982,-2.698037461,60,Yes,1,,,YESWATER,Yes,
LONG,pot,England,UK,53.0863982,-2.698037461,60,Yes,1,2019,30,YESWATER,Yes,
LONG,ground,England,UK,53.11018025,-0.521207264,180,Yes,1,,,,,
LONG,ground,Wales,UK,53.11839884,-4.128531452,800,Yes,1,2010,100,NOWATER,No,Loamy
LONG,ground,England,UK,53.12883178,-2.164138159,150,Yes,1,2014,100,NOWATER,No,Clay
LONG,ground,England,UK,53.16023301,-2.669775753,700,Yes,4,2015,500,NOWATER,No,Sandy
LONG,ground,England,UK,53.1645927,-1.342721886,122,Yes,1,2006,45.72,NOWATER,No,Loamy
LONG,pot,Netherlands,Europe,53.17701736,6.607356707,200,Yes,1,2016,120,YESWATER,Yes,Loamy
LONG,ground,England,UK,53.19507155,-2.895160547,200,Yes,1,,,,,
LONG,pot,Ireland,UK,53.20111931,-6.111457654,152,Yes,3,2008,30.48,YESWATER,Yes,Potting mix
SHORT,ground,England ,UK,53.20399266,-1.019774288,180,Yes,1,,,,,
LONG,ground,England,UK,53.21297073,-1.674347466,155,Yes,1,2013,100,NOWATER,Yes,Silty
LONG,ground,Wales,UK,53.22688147,-4.13011846,353,Yes,1,2008,100,NOWATER,No,Peaty
SHORT,ground,England,UK,53.227391,-2.884604514,200,Yes,1,,,,,
LONG,pot,England,UK,53.25392507,-3.009283641,13,Yes,1,,0.5,YESWATER,Yes,Clay
LONG,pot,England,UK,53.25910737,-2.116767741,150,Yes,1,2006,50,YESWATER,Yes,Potting mix
LONG,pot,England,UK,53.25962856,-2.518321879,380,Yes,1,2012,75,YESWATER,Yes,Potting mix
SHORT,ground,England ,UK,53.26043781,-3.025531412,250,Yes,3,,,,,
SHORT,pot,England ,UK,53.26090489,-2.517803785,270,Yes,4,,,,,
SHORT,ground,England,UK,53.28375414,-3.050793837,250,Yes,1,,,,,
LONG,ground,Wales,UK,53.29348332,-3.729268282,230,Yes,1,2014,120,NOWATER,No,Peaty
LONG,ground,Ireland,UK,53.29393465,-6.247425048,280,Yes,2,2013,180,NOWATER,No,Clay
LONG,pot,England ,UK,53.31127827,-1.123132778,80,Yes,1,2011,40,NOWATER,No,Peaty
LONG,pot,England,UK,53.33881087,-2.99111872,30,Yes,1,2013,0,YESWATER,No,Potting mix
SHORT,ground,Ireland ,UK,53.34730538,-6.250964995,165,Yes,1,,,,,
SHORT,pot,England ,UK,53.36382082,-3.02104084,40,Yes,1,,,,,
LONG,ground,England ,UK,53.37217788,-1.497589602,250,Yes,1,2008,60,NOWATER,No,Clay
SHORT,ground,England,UK,53.37228669,-1.497546681,300,Yes,1,,,,,
LONG,ground,England,UK,53.40472553,-3.099723692,210,Yes,1,2014,50,YESWATER,Yes,Clay
LONG,ground,England ,UK,53.40993987,-2.157824111,200,Yes,2,2008,60,YESWATER,Yes,Loamy
LONG,ground,England,UK,53.42227803,-2.899976745,122,Yes,1,2012,30.48,NOWATER,No,Loamy
LONG,pot,England,UK,53.42787966,-2.955132839,46,Yes,1,,,,,
LONG,pot,England,UK,53.43172846,-1.272918638,91,Yes,1,2010,60.96,YESWATER,No,Potting mix
LONG,pot,England ,UK,53.43850142,-2.27739127,213,Yes,1,,,,,
LONG,pot,England ,UK,53.43850142,-2.27739127,213,Yes,1,2009,137,YESWATER,Yes,Potting mix
LONG,ground,Ireland,UK,53.44800527,-6.157310947,300,Yes,1,2014,,NOWATER,Yes,Clay
SHORT,pot,England,UK,53.47509014,-2.496795832,100,Yes,1,,,,,
SHORT,,England,UK,53.47671004,-2.234966464,150,Yes,1,,,,,
LONG,,England ,UK,53.47883426,-2.094683526,700,Yes,1,2005,45.72,NOWATER,No,Clay
SHORT,pot,England ,UK,53.51483723,-2.466470804,152,Yes,1,,,,,
LONG,ground,England ,UK,53.52437352,-1.120277128,500,Yes,1,2009,30.48,NOWATER,No,
LONG,ground,England ,UK,53.55353666,-1.480220499,140,Yes,1,2009,50,NOWATER,No,
LONG,pot,England,UK,53.58701567,-0.656474207,45,Yes,1,2019,40,YESWATER,Yes,Potting mix
SHORT,ground,England,UK,53.59205066,-2.147668953,180,Yes,1,,,,,
LONG,pot,Ireland,UK,53.59513758,-9.878619542,366,Yes,1,2008,30.48,YESWATER,No,Silty
LONG,ground,England,UK,53.72815079,-2.658311723,210,Yes,1,2011,70,YESWATER,No,Clay
LONG,ground,England,UK,53.72815079,-2.658311723,210,Yes,1,,,,,
LONG,pot,Ireland,UK,53.76910195,-8.488015174,152,Yes,1,2009,76.2,YESWATER,No,Loamy
LONG,ground,England,UK,53.79212894,-0.50404184,270,Yes,1,2014,100,NOWATER,Yes,Chalky
SHORT,ground,England ,UK,53.85573889,-2.178891394,70,Yes,1,,,,,
LONG,ground,England,UK,53.9059471,-1.691952685,300,Yes,1,2009,30,NOWATER,No,Peaty
SHORT,ground,England ,UK,53.95868444,-1.08102255,160,Yes,1,,,,,
LONG,ground,England ,UK,53.95986642,-1.08775242,210,Yes,1,,30,NOWATER,,
SHORT,ground,England ,UK,53.96174791,-1.089145173,120,Yes,1,,,,,
LONG,ground,England ,UK,53.96279899,-1.089254178,250,Yes,1,,50,NOWATER,No,
LONG,,England,UK,53.99087698,-1.541215223,488,Yes,1,2007,91.44,NOWATER,No,Clay
SHORT,ground,England,UK,53.99198734,-1.549981983,450,Yes,1,,,,,
SHORT,,England,UK,53.99421126,-1.542304563,360,Yes,1,,,,,
LONG,pot,England ,UK,54.00231748,-1.569951977,76,Yes,1,,,,,
LONG,pot,England,UK,54.12795,-1.187692368,100,Yes,1,2018,30,NOWATER,No,Peaty
SHORT,ground,England,UK,54.36902529,-3.071967144,152,Yes,1,,,,,
SHORT,ground,Northern Ireland ,Europe,54.44770244,-5.829543828,100,Yes,1,,,,,
LONG,ground,England ,UK,54.52516321,-1.249099143,45,Yes,1,2017,30,NOWATER,No,Clay
LONG,ground,England ,UK,54.53054705,-1.259862056,120,Yes,1,2016,40,,,Clay
LONG,ground,England ,UK,54.57186541,-1.32922462,198,Yes,3,2012,45.72,YESWATER,Yes,Potting mix
LONG,ground,Northern Ireland ,Europe,54.5932745,-5.696483505,732,Yes,1,2005,120,NOWATER,No,Sandy
LONG,pot,England ,UK,54.75921644,-1.59211266,100,Yes,1,,,,,
LONG,,England ,UK,54.86298199,-2.924281864,300,Yes,3,2012,20,YESWATER,Yes,Clay
LONG,pot,England,UK,54.88963519,-1.432667385,150,Yes,1,,,,,
LONG,ground,Scotland,UK,54.89729246,-4.951491161,244,Yes,1,,,,,
LONG,ground,Scotland,UK,54.9409972,-3.932392777,300,Yes,1,2015,,NOWATER,No,Silty
LONG,ground,Scotland,UK,54.9409972,-3.932392777,60,Yes,1,,,,,
LONG,ground,Scotland,UK,54.94114292,-3.930960495,360,Yes,1,2013,40,NOWATER,No,
SHORT,ground,Scotland,UK,54.94114292,-3.930960495,305,Yes,1,,,,,
LONG,ground,England,UK,55.00269919,-1.426955175,500,Yes,1,2015,350,,,Clay
LONG,pot,England ,UK,55.03702446,-1.567879811,80,Yes,1,2017,50,YESWATER,Yes,Potting mix
LONG,ground,England,UK,55.05170401,-1.739393512,150,Yes,1,2016,30,NOWATER,No,Clay
LONG,ground,Scotland,UK,55.08221116,-3.759899393,250,Yes,1,2013,30,NOWATER,Yes,Loamy
LONG,pot,England,UK,55.10669215,-1.540890779,250,Yes,1,2010,35,YESWATER,Yes,Potting mix
SHORT,ground,Northern Ireland ,Europe,55.1646158,-6.810037992,200,Unsure,1,,,,,
LONG,,Northern Ireland ,Europe,55.16803214,-6.791618158,213,Yes,1,2017,183,NOWATER,No,Loamy
LONG,ground,Northern Ireland ,Europe,55.18706737,-6.718183894,170,Yes,3,2015,60,NOWATER,No,Clay
LONG,ground,Scotland,UK,55.33535003,-3.440199709,140,Yes,1,2008,50,NOWATER,No,
LONG,ground,Scotland,UK,55.66487458,-4.405374146,120,Yes,2,2000,80,NOWATER,Yes,Loamy
SHORT,ground,Scotland,UK,55.7211841,-2.757958002,150,Yes,1,,,,,
LONG,pot,Russia,Russia,55.72611588,37.62541158,700,Yes,1,,,,,
LONG,ground,Denmark,Europe,55.74753039,12.53991142,205,Yes,1,2006,40,YESWATER,No,Potting mix
LONG,pot,Russia,Russia,55.76002797,37.59521201,600,Yes,1,2019,,YESWATER,Yes,
LONG,ground,Scotland,UK,55.83280786,-5.068749818,200,Yes,1,,,,,
LONG,ground,Sweden ,Europe,55.83857746,14.08988114,100,Yes,1,2010,50,NOWATER,No,Sandy
LONG,,Scotland,UK,55.87931162,-4.289552567,457,Yes,2,2007,100,NOWATER,No,Clay
LONG,ground,Scotland,UK,55.87985552,-3.101302702,170,Yes,1,,,,,
LONG,ground,Scotland,UK,55.94229563,-3.269968171,300,Yes,1,2010,30,NOWATER,No,
LONG,ground,Scotland,UK,55.94249297,-3.269849623,200,Yes,1,,,,,
SHORT,ground,Scotland,UK,55.94494852,-3.188318348,120,Yes,1,,,,,
SHORT,ground,Scotland,UK,55.95269319,-3.186084378,150,Yes,1,,,,,
SHORT,,Scotland,UK,55.96449579,-3.203821438,500,Yes,,,,,,
LONG,ground,Scotland,UK,55.96513712,-3.20944907,400,Yes,,2004,30,,,Sandy
SHORT,ground,Scotland,UK,55.96539223,-3.209305779,100,Yes,1,,,,,
LONG,ground,Scotland,UK,55.97061253,-4.914812171,850,Yes,1,2010,75,NOWATER,No,Silty
LONG,ground,Scotland,UK,56.0196958,-4.815127063,152,Yes,1,2014,91.44,NOWATER,No,Loamy
SHORT,ground,Scotland,UK,56.17861062,-4.384623541,250,Yes,1,,,,,
LONG,ground,Scotland,UK,56.2347907,-5.561000082,400,Yes,2,2017,300,NOWATER,Yes,
LONG,ground,Scotland,UK,56.23893508,-4.215831203,230,Yes,2,2007,30,NOWATER,No,Peaty
LONG,ground,Scotland,UK,56.33514034,-2.804799942,200,Yes,1,2009,100,NOWATER,No,
LONG,pot,Scotland,UK,56.41735908,-5.464964158,38,Yes,1,,20.32,YESWATER,Yes,Peaty
LONG,ground,Scotland,UK,57.39785208,-5.502049244,200,Yes,1,2012,60,YESWATER,No,Peaty
SHORT,ground,Scotland,UK,57.4602743,-4.243055462,82,Yes,1,,,,,
LONG,ground,Scotland,UK,57.4786871,-4.224443343,92,Yes,1,2017,60,YESWATER,No,Sandy
SHORT,ground,Scotland,UK,57.76475219,-5.601288292,500,Yes,2,,,,,
LONG,,Scotland,UK,57.76546771,-5.605243387,400,Yes,,2019,400,NOWATER,No,
SHORT,ground,Scotland,UK,57.77534808,-5.596548458,152,Yes,,,,,,
LONG,ground,Scotland,UK,57.77536597,-5.596540228,750,Yes,,2005,NA,NOWATER,No,
LONG,ground,Scotland,UK,57.77543389,-5.596591367,396,Yes,,2009,multiple,NOWATER,No,Loamy
LONG,pot,Sweden,Europe,59.86277585,17.64011126,240,Yes,1,2007,50,YESWATER,Yes,
SHORT,pot,Norway,Europe,59.91440452,10.74947243,350,Yes,1,,,,,
SHORT,ground,Scotland,UK,60.28321417,-1.375524512,150,Yes,1,,,,,
LONG,ground,Australia,Australasia,-37.8530562,145.0330175,100,Yes,1,2000,100,NOWATER,Yes,
SHORT,ground,Australia,Australasia,-37.8530562,145.0330175,100,No,2,,,,,
LONG,ground,Australia,Australasia,-37.8530562,145.0330175,120,Yes,2,,,,,
SHORT,ground,Australia,Australasia,-33.88564173,151.168569,200,Yes,1,,,,,
NA,pot,England,UK,52.3765071,1.108423397,206,Yes,NA,,,,,
NA,ground,Italy,Europe,41.8941743,12.46246596,400,Yes,1,,,,,
NA,pot,Australia,Australasia,-34.81982893,150.5590182,230,No,NA,,,,,
NA,ground,Scotland,UK,51.23161639,-0.33211126,440,Yes,1,,,,,
NA,ground,Scotland,UK,54.7427618,-4.959422654,60,Yes,,,,,,
NA,ground,Scotland,UK,54.7427618,-4.959422654,80,Yes,,,,,,
NA,ground,Scotland,UK,54.7427618,-4.959422654,80,Yes,,,,,,
NA,ground,Scotland,UK,54.7427618,-4.959422654,100,Yes,,,,,,
NA,ground,Scotland,UK,54.7427618,-4.959422654,140,Yes,,,,,,
NA,ground,Scotland,UK,54.7427618,-4.959422654,150,Yes,,,,,,
NA,ground,Scotland,UK,55.96106563,-3.205308963,60,Yes,,,,,,
NA,ground,Scotland,UK,55.96106563,-3.205308963,100,Yes,,,,,,
NA,ground,Scotland,UK,55.96106563,-3.205308963,160,Yes,,,,,,
NA,ground,Scotland,UK,55.96106563,-3.205308963,170,Yes,,,,,,
NA,ground,France,Europe,48.84391473,2.359059698,152,Unsure,,,,,,
NA,ground,Portugal,Europe,32.7828991,-17.08878882,200,Unsure,,,,,,
NA,pot,France,Europe,43.71427448,4.415963388,200,Yes,,,,,,
