survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
LONG,ground,England ,UK,50.71259258,-2.447186573,295,Yes,2,2008,60,NOWATER,No,Loamy
LONG,ground,England ,UK,50.7185576,-3.536766278,220,Yes,1,,,,,
SHORT,ground,Poland,Europe,50.71872052,16.86161234,200,Yes,1,,,,,
LONG,ground,England ,UK,50.72102069,-3.488197059,120,Unsure,2,,,,,
SHORT,ground,Germany,Europe,50.72522073,7.087152382,300,Yes,1,,,,,
LONG,ground,England ,UK,50.72578033,-3.535345776,300,Yes,1,2008,75,NOWATER,No,
LONG,ground,England,UK,50.7511174,-3.279711211,216,Yes,1,2009,30.48,NOWATER,No,Clay
LONG,,England,UK,50.75893801,-1.706068717,750,Yes,,2009,50,NOWATER,No,Loamy
SHORT,ground,England,UK,50.78135036,-2.729670216,178,Yes,1,,,,,
LONG,pot,England,UK,50.82898015,-3.418441227,220,Yes,1,2008,40,NOWATER,No,Potting mix
SHORT,ground,England,UK,50.83888504,-0.781678451,300,Yes,1,,,,,
LONG,ground,England,UK,50.83920887,-0.775444938,250,Yes,2,2018,NA,NOWATER,No,Chalky
SHORT,ground,England,UK,50.84902326,0.466082241,198,Yes,1,,,,,
LONG,ground,England,UK,50.85357331,-0.558458406,274,Yes,1,2009,45.72,NOWATER,Yes,Chalky
LONG,ground,England,UK,50.85691969,0.572225784,200,Yes,1,2018,,,No,
LONG,pot,England,UK,50.87755684,0.060912423,280,Yes,1,2008,50,YESWATER,No,Potting mix
LONG,ground,England,UK,50.90170428,-3.492987803,213,Yes,1,,,,,
LONG,ground,England,UK,50.90750228,-3.482292559,305,Yes,1,2016,274,NOWATER,No,Clay
LONG,ground,England ,UK,50.92537436,0.70815988,191,Yes,1,2005,88.9,NOWATER,No,Loamy
LONG,ground,England,UK,50.92616988,0.161703199,300,Yes,1,2010,80,NOWATER,No,Loamy
LONG,ground,Belgium,Europe,50.93450468,4.327485526,175,Yes,2,2008,,NOWATER,,Loamy
LONG,ground,England,UK,50.94216203,0.430744534,120,Yes,1,2016,50,NOWATER,No,Clay
LONG,,England,UK,50.94590593,-4.137289297,250,Yes,1,2013,50,NOWATER,No,
SHORT,,England,UK,50.9577401,-0.511740139,60,Yes,1,,,,,
SHORT,ground,England,UK,50.97775624,0.053974826,350,Yes,1,,,,,
LONG,pot,Belgium,Europe,50.98960372,5.194413172,165,Yes,4,2007,50,YESWATER,Yes,Potting mix
LONG,ground,England,UK,50.9899026,-1.496328273,183,Yes,1,2016,121.92,NOWATER,No,Loamy
LONG,ground,England,UK,50.99322969,-2.55970116,203,Yes,1,2005,165.1,YESWATER,No,Clay
SHORT,,England,UK,50.9992378,-0.106288204,300,Yes,1,,,,,
LONG,ground,England,UK,51.0087788,-0.110318862,280,Yes,1,,,,,
LONG,pot,England,UK,51.03535303,-1.572846399,130,Yes,1,2017,45,YESWATER,No,Peaty
LONG,pot,England ,UK,51.03853765,0.503209037,127,Yes,1,2014,73.66,YESWATER,Yes,Potting mix
LONG,ground,England,UK,51.05008436,-0.199673717,225,Yes,1,2015,112,NOWATER,No,Sandy
LONG,ground,England,UK,51.05407638,-0.198240431,457,Yes,1,2006,,NOWATER,No,Clay
LONG,,England,UK,51.06031401,0.166247454,375,Yes,1,,45,,,
LONG,ground,USA ,North America,51.06219148,-0.323053769,366,Yes,,2014,274,YESWATER,No,Clay
LONG,ground,England ,UK,51.07253622,0.447859346,405,Yes,1,,,NOWATER,No,Sandy
LONG,ground,England ,UK,51.07253622,0.447859346,199,Yes,1,2008,,NOWATER,No,Sandy
SHORT,ground,England ,UK,51.07253622,0.447859346,48,Yes,1,,,,,
SHORT,ground,England ,UK,51.07253622,0.447859346,91,Yes,1,,,,,
SHORT,ground,England ,UK,51.07253622,0.447859346,140,Yes,1,,,,,
SHORT,ground,England ,UK,51.07253622,0.447859346,167,Yes,1,,,,,
SHORT,ground,England ,UK,51.07253622,0.447859346,305,Yes,1,,,,,
SHORT,ground,England ,UK,51.07253622,0.447859346,504,Yes,1,,,,,
SHORT,ground,England ,UK,51.07253622,0.447859346,609,Yes,1,,,,,
LONG,ground,England,UK,51.07402981,-0.319774719,550,Yes,1,2007,50,NOWATER,No,Clay
LONG,ground,England,UK,51.07846905,-4.059852792,400,Yes,1,2005,30,NOWATER,No,Loamy
LONG,ground,Belgium,Europe,51.08079478,2.882604667,300,Yes,1,2007,50,YESWATER,Yes,Clay
