"pointid","Date","Month","Colony","NestBox","Retrap / new","Sex","Wgt","Age","Breeding status","Pouch","Location","Forest_type","Old_growth","east","north","zone","hemisphere","lat","lon","psf","grid_conv","DEM","Slope","Aspect","TWI","Relative Slope Index 10m Resolution","Valley Depth  10 m Resolution","Slope Length Factor 10 m Resolution","Leo location"
67,"23/3/2006","March","S2","S2","New","Female",142.0,"Adult","Breeding","Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",401011,5848902,55,"South",-37.50151125,145.8800853,0.9997207,-0.68184,1395.77002,5.770770073,351.4309998,8.988160133,0.871833026,10.79629993,7.285830021,
68,"23/3/2006","March","S2","S2","New","Female",132.0,"Adult",,"Tight & unstained","Lake Mountain","SubAlpine Woodland","No ",401011,5848902,55,"South",-37.50151125,145.8800853,0.9997207,-0.68184,1395.77002,5.770770073,351.4309998,8.988160133,0.871833026,10.79629993,7.285830021,
69,"23/3/2006","March","S3","S3","New","Female",137.0,"Adult",,"Tight & unstained","Lake Mountain","SubAlpine Woodland","No ",401105,5848709,55,"South",-37.50326063,145.8811226,0.99972047,-0.681235,1416.969971,2.941080093,24.86930084,7.646830082,0.930500984,7.443789959,1.409659982,
70,"23/3/2006","March","S3","S3","New","Female",138.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401105,5848709,55,"South",-37.50326063,145.8811226,0.99972047,-0.681235,1416.969971,2.941080093,24.86930084,7.646830082,0.930500984,7.443789959,1.409659982,
71,"23/3/2006","March","S3","S3","New","Male",145.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401105,5848709,55,"South",-37.50326063,145.8811226,0.99972047,-0.681235,1416.969971,2.941080093,24.86930084,7.646830082,0.930500984,7.443789959,1.409659982,
72,"23/3/2006","March","S4","S4","New","Female",144.0,"Adult",,"Lactating 2 teats","Lake Mountain","SubAlpine Woodland","No ",401276,5848253,55,"South",-37.50738838,145.8829957,0.99972005,-0.680158,1396.969971,7.262969971,295.2739868,6.645279884,0.811357021,8.431139946,4.262269974,
73,"23/3/2006","March","S4","S4","New","Male",145.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401276,5848253,55,"South",-37.50738838,145.8829957,0.99972005,-0.680158,1396.969971,7.262969971,295.2739868,6.645279884,0.811357021,8.431139946,4.262269974,
74,"23/3/2006","March","S5","S5","New","Female",132.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401230,5848006,55,"South",-37.50960941,145.8824421,0.99972016,-0.68053,1394.140015,10.80490017,294.6180115,5.706009865,0.931885004,3.070110083,6.709410191,
75,"23/3/2006","March","S5","S5","New","Male",136.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401230,5848006,55,"South",-37.50960941,145.8824421,0.99972016,-0.68053,1394.140015,10.80490017,294.6180115,5.706009865,0.931885004,3.070110083,6.709410191,
76,"25/3/2006","March","E16","E16","New","Female",137.0,"Adult","Breeding","Lactating 2 teats","Lake Mountain","SubAlpine Woodland","No ",401641,5850635,55,"South",-37.48596085,145.8874433,0.99971917,-0.67712,1381.209961,10.01220036,145.4989929,7.775440216,0.163514003,22.96439934,10.49650002,
77,"25/3/2006","March","E16","E16","New","Male",154.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401641,5850635,55,"South",-37.48596085,145.8874433,0.99971917,-0.67712,1381.209961,10.01220036,145.4989929,7.775440216,0.163514003,22.96439934,10.49650002,
78,"25/3/2006","March","E17","E17","New","Male",131.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401996,5850844,55,"South",-37.48411509,145.8914859,0.99971831,-0.67463,1393.48999,7.334660053,245.9440002,6.193620205,0.682079017,12.94499969,1.848029971,
79,"26/3/2006","March","C8","C8","New","Female",148.0,"Adult","Breeding","Lactating 2 teats","Lake Mountain","SubAlpine Woodland","No ",400732,5850608,55,"South",-37.48610691,145.8771595,0.99972138,-0.683382,1394.73999,13.42319965,227.9629974,5.571360111,0.675782979,8.154419899,5.73402977,
80,"26/3/2006","March","C8","C8","New","Male",156.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400732,5850608,55,"South",-37.48610691,145.8771595,0.99972138,-0.683382,1394.73999,13.42319965,227.9629974,5.571360111,0.675782979,8.154419899,5.73402977,
