"pointid","Date","Month","Colony","NestBox","Retrap / new","Sex","Wgt","Age","Breeding status","Pouch","Location","Forest_type","Old_growth","east","north","zone","hemisphere","lat","lon","psf","grid_conv","DEM","Slope","Aspect","TWI","Relative Slope Index 10m Resolution","Valley Depth  10 m Resolution","Slope Length Factor 10 m Resolution","Leo location"
144,"7/4/2011","April ","BFTD","BFTD2","New","Female",131.0,,,,"Mt Bullfight","SubAlpine Woodland","No",405255,5856480,55,"South",-37.4336627,145.9290668,0.99971057,-0.651007,1360.829956,13.93830013,48.50730133,6.411059856,0.126124993,23.86039925,10.12899971,
145,"7/4/2011","April ","BFTD","BFTD2","New","Male",138.0,,,,"Mt Bullfight","SubAlpine Woodland","No",405255,5856480,55,"South",-37.4336627,145.9290668,0.99971057,-0.651007,1360.829956,13.93830013,48.50730133,6.411059856,0.126124993,23.86039925,10.12899971,
146,"19/4/2011","April ","E18","E18","New","Female",132.0,,,"Tight & unstained","Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
147,"19/4/2011","April ","EJ105","EJ105A","New","Male",140.0,,,,"Lake Mountain","SubAlpine Woodland","No ",402233,5850367,55,"South",-37.48843893,145.8941027,0.99971774,-0.673104,1364.540039,9.391839981,209.7039948,8.560850143,0.129264995,29.59840012,10.34370041,
148,"21/4/2011","April ","LMRF1","LMRF1A","New","Male",137.0,,,,"Arnold Gap","SubAlpine Woodland","N",400090,5845863,55,"South",-37.52879913,145.8692542,0.99972295,-0.688862,1188.709961,17.68619919,284.2359924,5.401919842,0.126562998,54.92839813,8.169309616,
149,"21/4/2011","April ","LMRF1","LMRF1A","New","Female",140.0,,,"Lactating 2 teats","Arnold Gap","SubAlpine Woodland","N",400090,5845863,55,"South",-37.52879913,145.8692542,0.99972295,-0.688862,1188.709961,17.68619919,284.2359924,5.401919842,0.126562998,54.92839813,8.169309616,
150,"4/2/2012","February ","E18","E18d","Retrap","Female",140.6,,"Breeding","No PY but bred before","Lake Mountain","Riparian Woodlands","No ",402409,5850205,55,"South",-37.48991749,145.8960717,0.99971731,-0.671928,1362.680054,11.13199997,268.5549927,7.363279819,0.228166997,31.61380005,9.051650047,
151,"22/3/2006","March","C7","C7","New","Female",146.0,,"Breeding","Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",401240,5850300,55,"South",-37.48893706,145.8828633,0.99972014,-0.679954,1380.219971,2.494820118,137.6060028,8.060480118,0.343695015,16.29409981,1.25714004,
152,"22/3/2006","March","C23","C23","New","Male",136.0,,,,"Lake Mountain","SubAlpine Woodland","No ",401274,5850433,55,"South",-37.48774211,145.8832657,0.99972006,-0.67969,1385.719971,10.72889996,58.48830032,6.078579903,0.358714014,14.6935997,2.851490021,
153,"24/3/2006","March","E14","E14","New","Female",155.0,,"Breeding","Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",401486,5851126,55,"South",-37.48151945,145.8857561,0.99971954,-0.678078,1408.619995,8.624549866,291.3619995,5.649509907,0.918735981,3.383650064,3.351310015,
154,"24/3/2006","March","E14","E14","New","Male",148.0,,,,"Lake Mountain","SubAlpine Woodland","No ",401486,5851126,55,"South",-37.48151945,145.8857561,0.99971954,-0.678078,1408.619995,8.624549866,291.3619995,5.649509907,0.918735981,3.383650064,3.351310015,
155,"24/3/2006","March","E13","E13","New","Male",153.0,,,,"Lake Mountain","SubAlpine Woodland","No ",401351,5851362,55,"South",-37.47937821,145.884261,0.99971987,-0.678955,1377.819946,7.035709858,131.2769928,7.901350021,0.106532998,30.50419998,7.448579788,
156,"24/3/2006","March","C11","C11","New","Male",151.0,,,,"Lake Mountain","SubAlpine Woodland","No ",400780,5851118,55,"South",-37.48151597,145.8777711,0.99972126,-0.682938,1413.130005,20.34289932,61.2317009,4.749110222,0.492343009,16.71820068,9.701999664,
