"ID","Trial","Speed","HRM","NOVA","RDP","Footpod","Video"
11,2,8,121.86,113.33,142,91.86,114.16
11,2,9,119.8,109.84,138.5,94.1,112.63
11,2,11,112.65,107.48,135.22,95,110.49
12,1,11,90.7,65.19,81.34,62,67.76
12,1,9,91.06,67.18,88.7,58.2,71.72
12,1,12,89.13,63.1,79.75,62.52,65.32
12,1,13,90.58,62.92,81.67,62.66,65.53
12,1,10,94.53,67.2,91.15,62.21,70.22
12,2,9,93.13,67.96,90.2,57.13,73.64
12,2,12,94.56,65.08,82.89,63.14,66.86
12,2,10,96.3,67.48,90.53,63.07,72.83
12,2,11,92.93,65.84,86.95,62.38,68.29
12,2,13,87.84,59.74,77.88,60.62,62.11
13,1,11,116.7,81.92,108.2,87.24,80.82
13,1,9,121.43,88.78,115.6,86.66,89.52
13,1,12,118.4,81.94,105.91,88.41,82.34
13,1,13,115.37,75.68,99.67,86.47,76.39
13,1,10,123.57,89.67,113.4,88.1,89.99
13,2,9,117.07,88.75,114.48,83,90.08
13,2,12,117.14,79.4,104.53,86.03,82.09
13,2,10,120.8,87.09,111.7,87.33,89.39
13,2,11,119.03,85.63,106.08,86.6,83.69
13,2,13,116.07,77.31,98.75,87.69,102.09
14,1,10,126.22,102.68,128.52,85.03,111.83
14,1,14,119.57,92.75,119.6,85.47,103.75
14,1,11,129.83,106.2,131.67,89.07,119.33
14,1,13,124.77,100.6,127.61,88.1,117.68
14,1,12,131.2,104.99,132.2,91.14,119.52
14,2,12,131.3,105.67,132.03,91.41,120.07
14,2,10,132.7,111.9,134.33,87.9,125.36
14,2,14,124.14,98.59,124.12,89.14,111.39
14,2,13,130.41,103.17,130.93,92.87,120.04
14,2,11,130.56,107.39,135.07,88.76,123.74
15,1,10,103.26,93.33,119.25,84.48,98.86
15,1,14,119.17,103.4,128.48,106.07,110.99
15,1,11,114.85,102.1,128.7,99.7,106.92
15,1,13,114.83,101.55,127.1,101.5,106.7
15,1,12,115.09,103.95,129.03,101.4,112.33
15,2,12,106.51,94.92,120.36,91,95.43
15,2,10,108.73,96.68,120.43,88.28,97.73
15,2,14,119,105.08,128.73,107.47,108.06
15,2,13,113.16,98.39,125.16,99.73,102.6
15,2,11,103.94,90.59,119.69,86,94.45
